np, nx, time, base_res
16, 128, 0.108953, 64
16, 128, 0.121605, 64
16, 128, 0.10451, 64
16, 128, 0.134837, 64
16, 128, 0.109575, 64
16, 128, 0.142957, 64
16, 128, 0.112901, 64
16, 128, 0.110161, 64
16, 128, 0.127137, 64
16, 128, 0.112094, 64
4, 128, 0.136388, 64
4, 128, 0.10108, 64
4, 128, 0.124477, 64
4, 128, 0.125789, 64
4, 128, 0.121487, 64
16, 256, 0.189315, 64
16, 256, 0.196442, 64
16, 256, 0.19589, 64
16, 256, 0.205171, 64
16, 256, 0.191669, 64
64, 512, 10.2753, 64
64, 512, 0.311043, 64
64, 512, 0.515767, 64
64, 512, 12.5272, 64
4, 256, 0.5228, 128
4, 256, 0.499974, 128
4, 256, 0.531028, 128
4, 256, 0.5206, 128
4, 256, 0.430503, 128
16, 512, 0.86437, 128
16, 512, 0.879262, 128
16, 512, 0.841393, 128
16, 512, 0.879004, 128
16, 512, 0.894132, 128
64, 1024, 3.53987, 128
64, 1024, 29.6999, 128
64, 1024, 1.46792, 128
4, 512, 2.35246, 256
4, 512, 2.16491, 256
4, 512, 2.1481, 256
4, 512, 2.18704, 256
4, 512, 2.10706, 256
16, 1024, 4.27172, 256
16, 1024, 3.9081, 256
16, 1024, 3.84341, 256
16, 1024, 4.02102, 256
16, 1024, 3.80108, 256
64, 2048, 14.2074, 256
4, 128, 0.102273, 64
4, 128, 0.121545, 64
4, 128, 0.131196, 64
4, 128, 0.0968387, 64
4, 128, 0.125774, 64
16, 256, 0.226199, 64
16, 256, 0.19515, 64
16, 256, 0.203017, 64
16, 256, 0.23063, 64
16, 256, 0.195634, 64
64, 512, 0.313601, 64
64, 512, 0.741758, 64
64, 512, 0.430754, 64
64, 512, 0.342292, 64
64, 512, 0.337674, 64
4, 256, 0.531188, 128
4, 256, 0.546109, 128
4, 256, 0.551279, 128
4, 256, 0.531271, 128
4, 256, 0.528421, 128
16, 512, 0.883816, 128
16, 512, 0.866568, 128
16, 512, 0.920962, 128
16, 512, 0.846566, 128
16, 512, 0.884551, 128
64, 1024, 1.42025, 128
64, 1024, 3.1802, 128
64, 1024, 2.35883, 128
64, 1024, 1.75195, 128
64, 1024, 1.32786, 128
4, 512, 2.16859, 256
4, 512, 2.44514, 256
4, 512, 2.07309, 256
4, 512, 2.41008, 256
4, 512, 2.27586, 256
16, 1024, 4.05393, 256
16, 1024, 4.18829, 256
16, 1024, 3.96295, 256
16, 1024, 4.11872, 256
16, 1024, 3.93262, 256
64, 2048, 39.2073, 256
64, 2048, 17.5053, 256
64, 2048, 16.2085, 256
